"business_id","name","full_address","categories","city","state","review_count","neighborhoods"
"-nO_qj9eP-os3baYyh8eNA","Pasta Too","1106 Federal St
North Side
Pittsburgh, PA 15212","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",3,"North Side"
"Z7HNl4Gz00cA0_wt0S-vSw","BreadWorks Bakery","2110 Brighton Rd
North Side
Pittsburgh, PA 15212","c(""Bakeries"", ""Food"", ""Restaurants"")","Pittsburgh","PA",12,"North Side"
"OjzR6hUYasFReo0vhVn0-w","Teutonia Mannerchor","857 Phineas St
North Side
Pittsburgh, PA 15212","c(""German"", ""Beer, Wine & Spirits"", ""Food"", ""Restaurants"")","Pittsburgh","PA",6,"North Side"
"6AnorAMPkTdSDbUkOoV1Rw","Billy's Troy Hill Bistro","1720 Lowrie St
Troy Hill
Pittsburgh, PA 15212","c(""Bistros"", ""Restaurants"")","Pittsburgh","PA",5,"Troy Hill"
"rEKBr81s19Soh3dYj4bcGQ","Pizza Hut","1219 Federal St
North Side
Pittsburgh, PA 15212","c(""Italian"", ""Pizza"", ""Chicken Wings"", ""Restaurants"")","Pittsburgh","PA",3,"North Side"
"q_BKmbdlYfQJroJVHfYMUQ","Legends North Shore","500 E N Ave
North Side
Pittsburgh, PA 15212","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",71,"North Side"
"vMCCvnDU-Iz_D_pmbcMqzA","Peanutz","410 E Ohio St
North Side
Pittsburgh, PA 15212","c(""Bars"", ""American (New)"", ""Nightlife"", ""Restaurants"")","Pittsburgh","PA",7,"North Side"
"hUV4bjXE8Ijd-pDNr8S6mA","Steves New York Hotdog Shop","1110 Federal St
North Side
Pittsburgh, PA 15212","c(""Hot Dogs"", ""Restaurants"")","Pittsburgh","PA",6,"North Side"
"Z101WZaISochG6g7tI2ZVw","Atria's Restaurant","103 Federal St
North Side
Pittsburgh, PA 15212","c(""American (New)"", ""Sandwiches"", ""Restaurants"")","Pittsburgh","PA",48,"North Side"
"Eixtf79t1_ZKaC-7J2kAWg","Pickles Pizza & Sandwich Emporium","424 E Ohio St
North Side
Pittsburgh, PA 15212","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",14,"North Side"
"Z0OGW8PysysRXE0dR7QxQQ","Wilson's Bar-B-Q","700 N Taylor Ave
North Side
Pittsburgh, PA 15212","c(""Barbeque"", ""Restaurants"")","Pittsburgh","PA",12,"North Side"
"I9-Ei8_KYtMjbixNJSCvwA","The Isaly Company","537 E Ohio St
North Side
Pittsburgh, PA 15212","c(""Food"", ""Ice Cream & Frozen Yogurt"", ""Delis"", ""Restaurants"")","Pittsburgh","PA",3,"North Side"
"URGZtJhOCrbJ8-RkLvslOg","Firewaters","120 Federal St
North Side
Pittsburgh, PA 15212","c(""American (New)"", ""Restaurants"")","Pittsburgh","PA",3,"North Side"
"yfuoL_w76WFVHcGJbw0IIg","Nick's Place","1276 Benton Ave
Brighton Heights
Pittsburgh, PA 15212","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",6,"Brighton Heights"
"YUZVBdGmagwXV-yOhR-1GQ","Miller's Seafood House","3853 California Ave
Brighton Heights
Pittsburgh, PA 15212","c(""Seafood"", ""Restaurants"")","Pittsburgh","PA",10,"Brighton Heights"
"OIL-eZX8d10jgWPLW-E7zA","Chubby's Pizza & Hoagies Northside","3627 California Ave
Brighton Heights
Pittsburgh, PA 15212","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",9,"Brighton Heights"
"PSlOtPIo28BvWOzdLmRRRQ","Knossos Gyros & Sis-Kabob","1439 Potomac Ave
Dormont
Pittsburgh, PA 15216","c(""Polish"", ""Greek"", ""Restaurants"")","Pittsburgh","PA",12,"Dormont"
"wan0X-oHpLgGTPXqaICZCw","Huddle","1648 Broadway Ave
Beechview
Pittsburgh, PA 15216","c(""Bars"", ""Nightlife"", ""Restaurants"")","Pittsburgh","PA",8,"Beechview"
"QnyzlVMyx0Exri-Lay10cA","Sushi Three","297 Beverly Rd
Pittsburgh, PA 15216","c(""Sushi Bars"", ""Japanese"", ""Restaurants"")","Pittsburgh","PA",17,"character(0)"
"81sqVj0xHyJXGYT0ip5fmQ","Green Garden","300 Beverly Rd
Pittsburgh, PA 15216","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",7,"character(0)"
"m61vZsAxmTEq3uiCjFjM8Q","Tom's Diner","2937 W Liberty Ave
Dormont
Pittsburgh, PA 15216","c(""Diners"", ""Restaurants"")","Pittsburgh","PA",24,"Dormont"
"93UCt9OgWYmypZCpXtUu8g","Beto's Pizza & Restaurant","1473 Banksville Rd
Banksville
Pittsburgh, PA 15216","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",86,"c(""Banksville"", ""Beechview"")"
"ORTRrw3ClZ0Ld0LgY1H_5g","Eat'n Park Restaurant","2874 W Liberty Ave
Dormont
Pittsburgh, PA 15216","c(""Fast Food"", ""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",15,"Dormont"
"9aw0t0rlACKkMaxsX0KlKA","Dairy Queen","1691 McFarland Rd
Pittsburgh, PA 15216","c(""Food"", ""Ice Cream & Frozen Yogurt"", ""Fast Food"", ""Restaurants"")","Pittsburgh","PA",5,"character(0)"
"5Udv4CASAXB2eH66TefWPQ","Cain's Saloon","3239 W Liberty Ave
Dormont
Pittsburgh, PA 15216","c(""American (New)"", ""Restaurants"")","Pittsburgh","PA",54,"Dormont"
"2Igiyhi82R8_QaaPplRmCw","The Dor-Stop Restaurant","1430 Potomac Ave
Dormont
Pittsburgh, PA 15216","c(""Breakfast & Brunch"", ""Diners"", ""Restaurants"")","Pittsburgh","PA",173,"Dormont"
"Cex2R008tMFg8R5fAtf77w","Campiti's Don Pizzeria","1509 Potomac Ave
Dormont
Pittsburgh, PA 15216","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",25,"Dormont"
"n7G2XFGvmS3duDJ4AzjKiQ","Namaste India","1150 Banksville Rd
Banksville
Pittsburgh, PA 15216","c(""Indian"", ""Restaurants"")","Pittsburgh","PA",19,"Banksville"
"8tBfgYCI6Fz9xrSYCYCYXA","Maharaja Restaurant","1150 Banksville Rd
Banksville
Pittsburgh, PA 15216","c(""Indian"", ""Restaurants"")","Pittsburgh","PA",11,"Banksville"
"Tb7hQ37UFA2QFaMwjFieQw","Arby's","1378 Banksville Rd
Banksville
Pittsburgh, PA 15216","c(""Fast Food"", ""Restaurants"")","Pittsburgh","PA",5,"Banksville"
"qemCNgjeYGcFsRwxW9x4xw","Bado's Pizza Grill And Ale House","307 Beverly Rd
Pittsburgh, PA 15216","c(""Delis"", ""Pizza"", ""Restaurants"")","Pittsburgh","PA",55,"character(0)"
"iudRNo5Q8W7firUBYJEqQQ","Little Nipper's Pizza","303 Beverly Rd
Pittsburgh, PA 15216","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",7,"character(0)"
"2X5G4Ujq0s4Wfn4TC7gX0g","D's Six Pax & Dogz","1118 S Braddock Ave
Pittsburgh, PA 15218","c(""Pubs"", ""Bars"", ""Hot Dogs"", ""Nightlife"", ""Restaurants"")","Pittsburgh","PA",225,"character(0)"
"XQ7elqSFIRogvqpiTZz-Wg","Dunning's Grill","1100 S Braddock Ave
Pittsburgh, PA 15218","c(""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",17,"character(0)"
"JL5B_s1EoN4zIru4JSw4Qg","Taco Bell","1603 S Braddock Ave
Pittsburgh, PA 15218","c(""Fast Food"", ""Mexican"", ""Tex-Mex"", ""Restaurants"")","Pittsburgh","PA",4,"character(0)"
"IafkUjO5CiXAu9LfB4_Sgg","Rudy Martino Original House of Submarines","1918 Monongahela Ave
Pittsburgh, PA 15218","c(""Diners"", ""Restaurants"")","Pittsburgh","PA",3,"character(0)"
"DzOPHyrG2XuVqKEvHCnN7w","Triangle Bar & Grill","2122 Monongahela Ave
Pittsburgh, PA 15218","c(""Sandwiches"", ""Restaurants"")","Pittsburgh","PA",25,"character(0)"
"K8Ebs8G1rwc3DBdznHvDxg","Wendy's","1703 S Braddock Ave
Pittsburgh, PA 15218","c(""Burgers"", ""Fast Food"", ""Restaurants"")","Pittsburgh","PA",4,"character(0)"
"h3la53L9-OX_HlfeAySh0Q","Applebee's","Edgwd Towne Ctr
Pittsburgh, PA 15218","c(""Bars"", ""American (Traditional)"", ""Burgers"", ""Nightlife"", ""Sports Bars"", ""Restaurants"")","Pittsburgh","PA",12,"character(0)"
"1vQLTKwmcmZXtNzfKEvMmA","Benihana","2100 Greentree Rd
Pittsburgh, PA 15220","c(""Sushi Bars"", ""Japanese"", ""Restaurants"")","Pittsburgh","PA",33,"character(0)"
"hhNlQWaKqGbMPoeZHoL-IQ","Mad Mex","2101 Greentree Rd
Pittsburgh, PA 15220","c(""Mexican"", ""Tex-Mex"", ""Restaurants"")","Pittsburgh","PA",65,"character(0)"
"SgQYRICpMdWCmY7wM2Cmcw","Max & Erma's","1910 Cochran Rd
Pittsburgh, PA 15220","c(""Burgers"", ""Sandwiches"", ""Salad"", ""Restaurants"")","Pittsburgh","PA",21,"character(0)"
"uwiD9jxs09xxXG0by_xKuA","Bruegger's Bagels","1644 Cochran Rd
Pittsburgh, PA 15220","c(""Food"", ""Sandwiches"", ""Bagels"", ""Breakfast & Brunch"", ""Restaurants"")","Pittsburgh","PA",5,"character(0)"
"mrbfnIXD5U4pMxuZgKedOw","Sichuan House Chinese Restaurant","1717 Cochran Rd
Pittsburgh, PA 15220","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",4,"character(0)"
"sNmQJQWEVGheCnw5Tf4Phg","Panera Bread","1900 Greentree Road
Pittsburgh, PA 15220","c(""Soup"", ""Sandwiches"", ""Salad"", ""Restaurants"")","Pittsburgh","PA",11,"character(0)"
"jrSGpWnVJy8jqgN6XSC7Nw","Aracri's Greentree Inn","1006 Greentree Rd
Greentree
Pittsburgh, PA 15220","c(""American (New)"", ""Restaurants"")","Pittsburgh","PA",9,"Greentree"
"KZXtzoI84iI1CEcAnD7OPA","Vincent's of Greentree","333 Mansfield Ave
Greentree
Pittsburgh, PA 15220","c(""Italian"", ""Pizza"", ""Restaurants"")","Pittsburgh","PA",34,"Greentree"
"zpNGtjBlIkDq_PLGSCPlAg","Olive Garden Italian Restaurant","971 Greentree Rd
Greentree
Pittsburgh, PA 15220","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",19,"Greentree"
"ZS7-I04iDm4oRP_GJsJqrA","Boston Market","978 Greentree Rd
Greentree
Pittsburgh, PA 15220","c(""Event Planning & Services"", ""American (Traditional)"", ""Caterers"", ""Comfort Food"", ""Restaurants"")","Pittsburgh","PA",5,"Greentree"
"FtjvnLhh51ZBYEpKAARaFQ","Soho","203 Federal St
North Side
Pittsburgh, PA 15212","c(""American (New)"", ""Restaurants"")","Pittsburgh","PA",69,"North Side"
"z4cCguoHdU48pj6sXMIzqg","Original Fish Market","1001 Liberty Ave
Downtown
Pittsburgh, PA 15222","c(""Seafood"", ""Restaurants"")","Pittsburgh","PA",74,"Downtown"
"sbTF0cLKZH6_BP8BLARVDg","Bossa Nova","123 7th St
Downtown
Pittsburgh, PA 15222","c(""Tapas Bars"", ""Bars"", ""Nightlife"", ""Restaurants"")","Pittsburgh","PA",29,"Downtown"
"OxIeMVcop5oxBUWANi-1Rw","Olive Or Twist","140 6th St
Downtown
Pittsburgh, PA 15222","c(""Bars"", ""Cocktail Bars"", ""Nightlife"", ""Lounges"", ""American (New)"", ""Restaurants"")","Pittsburgh","PA",132,"Downtown"
"imzKM9-mgN1Yk_RIXx3IgA","Sunseri Jimmy & Nino Co","1901 Penn Ave
Strip District
Pittsburgh, PA 15222","c(""Food"", ""Ethnic Food"", ""Specialty Food"", ""Restaurants"", ""Italian"")","Pittsburgh","PA",16,"Strip District"
"IEHaU93HpEbdUO4z4bKzDw","Jo Jo's Restaurant","100 24th St
Strip District
Pittsburgh, PA 15222","c(""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",18,"Strip District"
"NeUf9FyCCIN4MEseNyqkXQ","Primanti Bros","2 Market Sq
Downtown
Pittsburgh, PA 15222","c(""Chicken Wings"", ""Sandwiches"", ""Restaurants"")","Pittsburgh","PA",340,"Downtown"
"JcP-IIrZkW_Yyv4a0yLRCw","Monte Cello's Downtown","305 7th Ave
Downtown
Pittsburgh, PA 15222","c(""Pizza"", ""Italian"", ""Sandwiches"", ""Restaurants"")","Pittsburgh","PA",9,"Downtown"
"4LcFKTr6Ah87VcxW2z5e6w","McDonald's","608 Wood St
Downtown
Pittsburgh, PA 15222","c(""Burgers"", ""Fast Food"", ""Restaurants"")","Pittsburgh","PA",3,"Downtown"
"buVALudg30kgkDusqB3yJw","Reyna Foods","2023 Penn Ave
Strip District
Pittsburgh, PA 15222","c(""Food"", ""Grocery"", ""Mexican"", ""Restaurants"")","Pittsburgh","PA",76,"Strip District"
"wHi8ODv7TGmeUB02XoX-mA","Roland's Seafood Grill","1904 Penn Ave
Strip District
Pittsburgh, PA 15222","c(""Seafood"", ""Restaurants"")","Pittsburgh","PA",125,"Strip District"
"WXpi9z1bqF9raZSW8z70Ow","Salonika Gyros","133 6th St
Downtown
Pittsburgh, PA 15222","c(""Greek"", ""Mediterranean"", ""Restaurants"")","Pittsburgh","PA",31,"Downtown"
"j7kgLc4Uys_sb-H7_Velcg","Brown Bag Delis","1001 Liberty Ave
Downtown
Pittsburgh, PA 15222","c(""Delis"", ""Restaurants"", ""Event Planning & Services"", ""Caterers"")","Pittsburgh","PA",5,"Downtown"
"DhDNNHZtaBxYNSqJz64ixg","La Gondola Pizzeria & Restaurant","4 Market Sq
Downtown
Pittsburgh, PA 15222","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",15,"Downtown"
"PxP19Rb88OQKiSMl2oWNsg","Christos","130 6th St
Downtown
Pittsburgh, PA 15222","c(""Mediterranean"", ""Restaurants"")","Pittsburgh","PA",42,"Downtown"
"9mwShpTgZofOujt4JfyGmw","Spaghetti Warehouse","2601 Smallman St
Strip District
Pittsburgh, PA 15222","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",74,"Strip District"
"90Fqfzd8zD9AuuNBSv9lAg","Morton's The Steakhouse","625 Liberty Ave
Ste 180
Downtown
Pittsburgh, PA 15222","c(""Steakhouses"", ""Restaurants"")","Pittsburgh","PA",47,"Downtown"
"KEzIorUdFjqCuxbRxKPghA","Mamma Lucia Pizza","433 Wood St
Downtown
Pittsburgh, PA 15222","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",6,"Downtown"
"pvGT62T6Ci1LKOS9DL42pg","Peppi's","12 Smithfield St
Downtown
Pittsburgh, PA 15222","c(""Sandwiches"", ""Restaurants"")","Pittsburgh","PA",19,"Downtown"
"OT3yVpDrDVITDCIYox8d9A","Buon Giorno Cafe","20 Stanwix St
Downtown
Pittsburgh, PA 15222","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",4,"Downtown"
"8AskFIgGxqNb8RbcDCAfmA","Madonna's Restaurant","441 Smithfield St
Downtown
Pittsburgh, PA 15222","c(""Mexican"", ""Restaurants"")","Pittsburgh","PA",7,"Downtown"
"A2XkbJ07hrR80t0EFgLikQ","Smithfield Cafe","639 Smithfield St
Downtown
Pittsburgh, PA 15222","c(""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",16,"Downtown"
"L5387MoRyx9orlRyYfCSPA","Andy's Sushi Bar","1711 Penn Ave
Strip District
Pittsburgh, PA 15222","c(""Sushi Bars"", ""Restaurants"")","Pittsburgh","PA",40,"Strip District"
"dHDi4wCcjsOR6vcZ8oOIoA","Sushi Kim Restaurant","1241 Penn Ave
Strip District
Pittsburgh, PA 15222","c(""Korean"", ""Sushi Bars"", ""Restaurants"")","Pittsburgh","PA",81,"Strip District"
"41CXLCeB8z2oNdIOvnrzIA","Redfin Blues","100 Waterfront Dr
Pittsburgh, PA 15222","c(""Seafood"", ""Restaurants"")","Pittsburgh","PA",37,"character(0)"
"l2gPB9mqiHSbpwSUa7zrjg","F. Tambellini Ristorante","139 7th St
Downtown
Pittsburgh, PA 15222","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",16,"Downtown"
"gfpl_GyyY5uj6zJnIdzImQ","Caffe Amante","120 5th Ave
Ste 2
Downtown
Pittsburgh, PA 15222","c(""Cafes"", ""Restaurants"")","Pittsburgh","PA",8,"Downtown"
"l-OmDgEd4QkZpyXVpkp2yA","Villa Reale Pizzeria & Restaurant","628 Smithfield St
Downtown
Pittsburgh, PA 15222","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",16,"Downtown"
"0FgwBx7pgmNdUtsd_T8UYQ","Ruth's Chris Steak House","6 PPG Pl
Downtown
Pittsburgh, PA 15222","c(""Steakhouses"", ""Restaurants"")","Pittsburgh","PA",49,"Downtown"
"SzHTdZR3yY1WBYUxkVxmUQ","Papa J's Centro","212 Blvd of the Allies
Downtown
Pittsburgh, PA 15222","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",19,"Downtown"
"xgcZN3F2f9LxLASQK_xzhw","Smallman Street Deli","2840 Smallman St
Strip District
Pittsburgh, PA 15222","c(""Delis"", ""Restaurants"")","Pittsburgh","PA",20,"Strip District"
"_aGVicux2dJm9sqzLSCJtg","Subway","703 Liberty Ave
Downtown
Pittsburgh, PA 15222","c(""Fast Food"", ""Sandwiches"", ""Restaurants"")","Pittsburgh","PA",3,"Downtown"
"uUorjstNslr3gkIsVGtQAg","Max & Erma's Restaurants","630 Stanwix St
Downtown
Pittsburgh, PA 15222","c(""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",15,"Downtown"
"GSiHJG8LqTn5ZQAY1r9q9w","Liang's Hunan Restaurant","957 Liberty Ave
Downtown
Pittsburgh, PA 15222","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",7,"Downtown"
"0Lsd35rHY6UtPFHjjxJ1LA","1902 Tavern","24 Market Sq
Downtown
Pittsburgh, PA 15222","c(""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",7,"Downtown"
"Bza-l75OiKcMRmTYILpyfQ","Wiener World","626 Smithfield St
Downtown
Pittsburgh, PA 15222","c(""Hot Dogs"", ""Restaurants"")","Pittsburgh","PA",14,"Downtown"
"-TSFapUMwdyyxoi2egkOhw","Sammy's Famous Corned Beef","420 Smithfield St
Downtown
Pittsburgh, PA 15222","c(""Steakhouses"", ""Restaurants"")","Pittsburgh","PA",7,"Downtown"
"1E53rS8afK2jiLod8Jwy7A","Fu Lai Chinese Restaurant","525 Penn Ave
Downtown
Pittsburgh, PA 15222","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",15,"Downtown"
"j0uzPYXgu-hmkvuGnj-B1w","Mark's Grille & Catering","923 Penn Ave
Downtown
Pittsburgh, PA 15222","c(""Caterers"", ""American (Traditional)"", ""Event Planning & Services"", ""Restaurants"")","Pittsburgh","PA",5,"Downtown"
"AH1PrZQDIdjpKgy1z8XxUg","Zorba's Gyros","400 Smithfield St
Downtown
Pittsburgh, PA 15222","c(""Greek"", ""Sandwiches"", ""Salad"", ""Restaurants"")","Pittsburgh","PA",15,"Downtown"
"XmdTkxKyJd7TuDLoiic1kg","Lidia's Pittsburgh","1400 Smallman St
Strip District
Pittsburgh, PA 15222","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",222,"Strip District"
"HDTv_rnmSL8AQ04_zTWARA","Sports Rock Cafe","1400 Smallman St
Strip District
Pittsburgh, PA 15222","c(""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",7,"Strip District"
"nBl_NeArpL08MpoghDiA_A","Ephesus Mediterranean Kitchen","219 4th Ave
Downtown
Pittsburgh, PA 15222","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",51,"Downtown"
"J011r7mUV1QhgLJ7GkrtMw","Peppi's","1721 Penn Ave
Strip District
Pittsburgh, PA 15222","c(""Burgers"", ""Restaurants"")","Pittsburgh","PA",22,"Strip District"
"-KQ283hJkBO12u8XOrlCcQ","Original Oyster House","20 Market Sq
Downtown
Pittsburgh, PA 15222","c(""Seafood"", ""Restaurants"")","Pittsburgh","PA",67,"Downtown"
"SvoJ3Y3uqDfB4iGUaWXh8Q","Pizza Parma","823 Penn Ave
Downtown
Pittsburgh, PA 15222","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",31,"Downtown"
"6xEl2PDJulIp1PfWqa7-aA","Mullaneys Harp and Fiddle","2329 Penn Ave
Strip District
Pittsburgh, PA 15222","c(""Pubs"", ""Irish"", ""Nightlife"", ""Bars"", ""Restaurants"")","Pittsburgh","PA",23,"Strip District"
